Ano;Mês;País;"Bloco Econômico";"UF do Município";"Codigo SH4";"Descrição SH4";"Codigo SH2";"Descrição SH2";"Codigo Seção";"Descrição Seção";"Valor FOB (US$)";"Quilograma Líquido"
2023;03;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";8536;"Aparelhos para interrupção, seccionamento, protecção, derivação, ligação ou conexão de circuitos elétricos (por exemplo: interruptores, comutadores, relés, corta-circuitos, eliminadores de onda, tomadas de corrente, machos e fêmeas, suportes para lâmpada";85;"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios";XVI;"Máquinas e aparelhos, material elétrico e suas partes; Aparelhos de gravação ou reprodução de som, aparelhos de gravação ou reprodução de imagens e de som em televisão, e suas partes e acessórios";849183;80055
2023;06;"Estados Unidos";"América do Norte";"Santa Catarina";9022;"Aparelhos de raios X e aparelhos que utilizem as radiações alfa, beta ou gama, mesmo para usos médicos, cirúrgicos, odontológicos ou veterinários, incluídos os aparelhos de radiofotografia ou de radioterapia, os tubos de raios X e outros dispositivos gera";90;"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios";XVIII;"Instrumentos e aparelhos de ótica, fotografia ou cinematografia, medida, controle ou de precisão; Instrumentos e aparelhos médico-cirúrgicos; Relógios e aparelhos semelhantes; Instrumentos musicais; Suas partes e acessórios";835471;13800
2023;09;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";3206;"Outras matérias corantes; preparações indicadas na Nota 3 do presente capítulo, exceto das posições 3203, 3204 ou 3205; produtos inorgânicos dos tipos utilizados como luminóforos, mesmo de constituição química definida";32;"Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever";VI;"Produtos das indústrias químicas ou indústrias conexas";825022;383000
2023;07;Irlanda;Europa;"Santa Catarina";3002;"Sangue humano; sangue animal preparado para usos terapêuticos, profilácticos ou de diagnóstico; anti-soros, outras fracções do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (e";30;"Produtos farmacêuticos";VI;"Produtos das indústrias químicas ou indústrias conexas";822614;20
2023;07;Irlanda;"União Europeia - UE";"Santa Catarina";3002;"Sangue humano; sangue animal preparado para usos terapêuticos, profilácticos ou de diagnóstico; anti-soros, outras fracções do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (e";30;"Produtos farmacêuticos";VI;"Produtos das indústrias químicas ou indústrias conexas";822614;20
2023;06;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";4202;"Malas e maletas, incluídas as de toucador e as maletas e pastas para documentos e de estudantes, os estojos para óculos, binóculos, máquinas fotográficas e de filmar, instrumentos musicais, armas, e artefactos semelhantes; sacos de viagem, sacos isolantes";42;"Obras de couro; artigos de correeiro ou de seleiro; artigos de viagem, bolsas e artefatos semelhantes; obras de tripa";VIII;"Peles, couros, peles com pelo e obras destas matérias; Artigos de correeiro ou de seleiro; Artigos de viagem, bolsas e artefatos semelhantes; Obras de tripa";805418;183095
2023;03;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";6202;"Casacos compridos, capas, anoraques, blusões e semelhantes, de uso feminino, exceto os artefactos da posição 6204";62;"Vestuário e seus acessórios, exceto de Malha";XI;"Matérias têxteis e suas obras";805269;80291
2023;10;Alemanha;"União Europeia - UE";"Santa Catarina";1105;"Farinha, sêmola, pó, flocos, grânulos e pellets de batata";11;"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo";II;"Produtos do reino vegetal";786142;567000
2023;10;Alemanha;Europa;"Santa Catarina";1105;"Farinha, sêmola, pó, flocos, grânulos e pellets de batata";11;"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo";II;"Produtos do reino vegetal";786142;567000
2023;07;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";4011;"Pneumáticos novos, de borracha";40;"Borracha e suas obras";VII;"Plásticos e suas obras; Borracha e suas obras";769122;324446
2023;10;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";4202;"Malas e maletas, incluídas as de toucador e as maletas e pastas para documentos e de estudantes, os estojos para óculos, binóculos, máquinas fotográficas e de filmar, instrumentos musicais, armas, e artefactos semelhantes; sacos de viagem, sacos isolantes";42;"Obras de couro; artigos de correeiro ou de seleiro; artigos de viagem, bolsas e artefatos semelhantes; obras de tripa";VIII;"Peles, couros, peles com pelo e obras destas matérias; Artigos de correeiro ou de seleiro; Artigos de viagem, bolsas e artefatos semelhantes; Obras de tripa";766637;126658
2023;04;Alemanha;Europa;"Santa Catarina";1105;"Farinha, sêmola, pó, flocos, grânulos e pellets de batata";11;"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo";II;"Produtos do reino vegetal";765063;504000
2023;04;Alemanha;"União Europeia - UE";"Santa Catarina";1105;"Farinha, sêmola, pó, flocos, grânulos e pellets de batata";11;"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo";II;"Produtos do reino vegetal";765063;504000
2023;05;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";8536;"Aparelhos para interrupção, seccionamento, protecção, derivação, ligação ou conexão de circuitos elétricos (por exemplo: interruptores, comutadores, relés, corta-circuitos, eliminadores de onda, tomadas de corrente, machos e fêmeas, suportes para lâmpada";85;"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios";XVI;"Máquinas e aparelhos, material elétrico e suas partes; Aparelhos de gravação ou reprodução de som, aparelhos de gravação ou reprodução de imagens e de som em televisão, e suas partes e acessórios";760624;78024
2023;03;Chile;"América do Sul";"Santa Catarina";2204;"Vinhos de uvas frescas, incluídos os vinhos enriquecidos com álcool; mostos de uvas, excluídos os da posição 2009";22;"Bebidas, líquidos alcoólicos e vinagres";IV;"Produtos das indútrias alimentares; Bebidas, líquidos alcoólicos e vinagres; Tabaco e seus sucedâneos manufaturados";759958;193430
2023;10;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";5402;"Fios de filamentos sintéticos (exceto linhas para costurar), não acondicionados para venda a retalho, incluídos os monofilamentos sintéticos com menos de 67 decitex";54;"Filamentos sintéticos ou artificiais";XI;"Matérias têxteis e suas obras";759176;250806
2023;06;Japão;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";9018;"Instrumentos e aparelhos para medicina, cirurgia, odontologia e veterinária, incluídos os aparelhos de cintilografia e outros aparelhos electromédicos, bem como os aparelhos para testes visuais";90;"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios";XVIII;"Instrumentos e aparelhos de ótica, fotografia ou cinematografia, medida, controle ou de precisão; Instrumentos e aparelhos médico-cirúrgicos; Relógios e aparelhos semelhantes; Instrumentos musicais; Suas partes e acessórios";753011;3625
