Ano;Mês;País;"Bloco Econômico";"UF do Município";"Codigo SH4";"Descrição SH4";"Codigo SH2";"Descrição SH2";"Codigo Seção";"Descrição Seção";"Valor FOB (US$)";"Quilograma Líquido"
2023;06;"Emirados Árabes Unidos";"Oriente Médio";"Santa Catarina";7204;"Desperdícios, resíduos e sucata de ferro fundido, ferro ou aço; desperdícios de ferro ou aço, em lingotes";72;"Ferro fundido, ferro e aço";XV;"Metais comuns e suas obras";218433;633120
2023;05;Uruguai;"Mercado Comum do Sul - Mercosul";"Santa Catarina";7204;"Desperdícios, resíduos e sucata de ferro fundido, ferro ou aço; desperdícios de ferro ou aço, em lingotes";72;"Ferro fundido, ferro e aço";XV;"Metais comuns e suas obras";217053;1059780
2023;05;Uruguai;"América do Sul";"Santa Catarina";7204;"Desperdícios, resíduos e sucata de ferro fundido, ferro ou aço; desperdícios de ferro ou aço, em lingotes";72;"Ferro fundido, ferro e aço";XV;"Metais comuns e suas obras";217053;1059780
2023;08;"Estados Unidos";"América do Norte";"Santa Catarina";8517;"Aparelhos elétricos para telefonia ou telegrafia por fios, incluídos os aparelhos telefónicos por fio combinados com auscultadores sem fio e os aparelhos de telecomunicação por corrente portadora ou de telecomunicação digital; videofones";85;"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios";XVI;"Máquinas e aparelhos, material elétrico e suas partes; Aparelhos de gravação ou reprodução de som, aparelhos de gravação ou reprodução de imagens e de som em televisão, e suas partes e acessórios";203489;174
2023;02;Chile;"América do Sul";"Santa Catarina";2710;"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, contendo, em peso, 70 % ou mais de óleos de petróleo ou de minerais betuminosos, os quais devem constituir o seu elemento";27;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";V;"Produtos minerais";201067;156811
2023;07;"Estados Unidos";"América do Norte";"Santa Catarina";3504;"Peptonas e seus derivados; outras matérias protéicas e seus derivados; pó de peles";35;"Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas";VI;"Produtos das indústrias químicas ou indústrias conexas";200000;10000
2023;08;Peru;"América do Sul";"Santa Catarina";9032;"Instrumentos e aparelhos para regulação ou controlo, automáticos";90;"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios";XVIII;"Instrumentos e aparelhos de ótica, fotografia ou cinematografia, medida, controle ou de precisão; Instrumentos e aparelhos médico-cirúrgicos; Relógios e aparelhos semelhantes; Instrumentos musicais; Suas partes e acessórios";199205;1580
2023;08;Peru;"Comunidade Andina das Nações - CAN";"Santa Catarina";9032;"Instrumentos e aparelhos para regulação ou controlo, automáticos";90;"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios";XVIII;"Instrumentos e aparelhos de ótica, fotografia ou cinematografia, medida, controle ou de precisão; Instrumentos e aparelhos médico-cirúrgicos; Relógios e aparelhos semelhantes; Instrumentos musicais; Suas partes e acessórios";199205;1580
2023;05;"Emirados Árabes Unidos";"Oriente Médio";"Santa Catarina";7204;"Desperdícios, resíduos e sucata de ferro fundido, ferro ou aço; desperdícios de ferro ou aço, em lingotes";72;"Ferro fundido, ferro e aço";XV;"Metais comuns e suas obras";195187;671720
2023;08;Chile;"América do Sul";"Santa Catarina";2710;"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, contendo, em peso, 70 % ou mais de óleos de petróleo ou de minerais betuminosos, os quais devem constituir o seu elemento";27;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";V;"Produtos minerais";193454;195836
